customer_id,first_name,last_name,email,signup_date
1,First1,Last1,user1@example.com,2023-01-02
2,First2,Last2,user2@example.com,2023-01-03
3,First3,Last3,user3@example.com,2023-01-04
4,First4,Last4,user4@example.com,2023-01-05
5,First5,Last5,user5@example.com,2023-01-06
6,First6,Last6,user6@example.com,2023-01-07
7,First7,Last7,user7@example.com,2023-01-08
8,First8,Last8,user8@example.com,2023-01-09
9,First9,Last9,user9@example.com,2023-01-10
10,First10,Last10,user10@example.com,2023-01-11
11,First11,Last11,user11@example.com,2023-01-12
12,First12,Last12,user12@example.com,2023-01-13
13,First13,Last13,user13@example.com,2023-01-14
14,First14,Last14,user14@example.com,2023-01-15
15,First15,Last15,user15@example.com,2023-01-16
16,First16,Last16,user16@example.com,2023-01-17
17,First17,Last17,user17@example.com,2023-01-18
18,First18,Last18,user18@example.com,2023-01-19
19,First19,Last19,user19@example.com,2023-01-20
20,First20,Last20,user20@example.com,2023-01-21
